rank,car_id,year,make,model,total
4,113,2012,Acura,"Tsx sportwagon",116
6,112,2008,Acura,TL,110
8,50,2015,Acura,TLX,102
3,15,2014,Audi,S4,120
34,18,2015,Audi,S3,38
39,116,2008,Audi,A4,28
41,2,2016,Bmw,M2,24
42,172,2014,Bmw,4,22
48,111,2007,Bmw,328i,10
21,218,2010,Chevy,Camaro,64
28,170,2014,Chevy,Cruze,50
53,0,2015,Chevy,Camaro,0
9,216,2007,Chrystler,300,96
49,42,2001,Dodge,Viper,8
26,137,2017,Ford,"Focus rs",54
38,120,2014,Ford,"Focus st",30
40,219,2016,Ford,"Focus rs",26
5,83,2014,Honda,Accord,112
7,65,2009,Honda,Fit,106
8,31,2007,Honda,Fit,102
20,30,2012,Hyundai,Celoster,66
22,38,2017,Hyundai,"Elantra sport",62
38,92,2017,Hyundai,"Elantra sport",30
1,128,2010,Infiniti,G37,128
31,122,2011,Infiniti,M37s,44
34,20,2009,Infiniti,G37,38
2,124,2015,Jeep,Wrangler,124
20,123,2006,Lexus,Sc430,66
33,222,2015,Lexus,Is250,40
48,190,1995,Lexus,Sc300,10
29,52,2007,Mazda,"Speed 3",48
35,78,2015,Mazda,6,36
40,141,1993,Mazda,Miata,26
15,25,2012,Mercedes,C250,78
18,84,2012,Mercedes,Cl63amg,70
36,17,2016,Mercedes,C43,34
8,91,2010,Mitsu,Lancer,102
31,140,1995,Mitsu,Evo8,44
33,176,2014,Mitsu,Lancer,40
10,228,2010,Nissan,370,92
12,161,2012,Nissan,370z,84
12,3,2011,Nissan,370,84
14,57,2015,Scion,Frs,80
43,235,2013,Scion,Frs,20
16,36,2016,Subaru,WRX,74
19,33,2015,Subaru,Sti,68
22,21,2009,Subaru,WRX,62
24,142,1993,Toyota,Supra,58
24,110,2011,Toyota,Camry,58
26,43,2011,Toyota,"4 Runner",54
10,126,2010,Volkswagen,Eos,92
13,180,2011,Volkswagen,Gti,82
25,156,2014,Volkswagen,Gli,56
42,100,2006,Volvo,S60r,22
